"caseyear","casemonth","lmgid","dmgid","ahs_cases"
"2019",1,138,30,"1"
"2019",1,59,50,"1"
"2019",1,160,26,"1"
"2019",1,162,26,"1"
"2019",1,69,52,"2"
"2019",2,5,4,"4"
"2019",2,60,47,"3"
"2019",2,51,11,"1"
"2019",2,61,36,"1"
"2019",2,64,41,"3"
"2019",2,68,49,"6"
"2019",2,138,30,"2"
"2019",2,141,40,"6"
"2019",2,152,24,"1"
"2019",2,155,25,"1"
"2019",2,160,26,"3"
"2019",2,161,26,"1"
"2019",2,39,51,"1"
"2019",2,165,31,"5"
"2019",2,166,31,"1"
"2019",2,69,52,"35"
"2019",3,3,4,"1"
"2019",3,5,4,"14"
"2019",3,18,6,"3"
"2019",3,60,47,"2"
"2019",3,61,36,"5"
"2019",3,62,36,"2"
"2019",3,63,36,"1"
"2019",3,64,41,"9"
"2019",3,67,41,"1"
"2019",3,68,49,"26"
"2019",3,79,15,"1"
"2019",3,81,15,"1"
"2019",3,123,27,"2"
"2019",3,125,27,"4"
"2019",3,138,30,"5"
"2019",3,139,30,"2"
"2019",3,142,40,"1"
"2019",3,148,24,"1"
"2019",3,150,24,"1"
"2019",3,153,25,"1"
"2019",3,154,25,"3"
"2019",3,155,25,"4"
"2019",3,160,26,"4"
"2019",3,162,26,"1"
"2019",3,206,46,"1"
"2019",3,165,31,"6"
"2019",3,166,31,"1"
"2019",3,181,35,"3"
"2019",3,69,52,"112"
"2019",4,2,4,"1"
"2019",4,3,4,"1"
"2019",4,5,4,"6"
"2019",4,6,4,"1"
"2019",4,10,4,"1"
"2019",4,60,47,"6"
"2019",4,70,48,"3"
"2019",4,55,13,"1"
"2019",4,56,13,"1"
"2019",4,57,13,"1"
"2019",4,61,36,"1"
"2019",4,62,36,"2"
"2019",4,63,36,"3"
"2019",4,64,41,"21"
"2019",4,67,41,"1"
"2019",4,68,49,"20"
"2019",4,78,15,"2"
"2019",4,93,18,"1"
"2019",4,107,21,"1"
"2019",4,120,37,"1"
"2019",4,125,27,"2"
"2019",4,133,29,"1"
"2019",4,138,30,"3"
"2019",4,139,30,"1"
"2019",4,153,25,"3"
"2019",4,155,25,"1"
"2019",4,160,26,"3"
"2019",4,161,26,"1"
"2019",4,206,46,"1"
"2019",4,165,31,"30"
"2019",4,166,31,"2"
"2019",4,167,31,"2"
"2019",4,180,35,"2"
"2019",4,182,35,"1"
"2019",4,69,52,"50"
"2019",5,3,4,"1"
"2019",5,5,4,"12"
"2019",5,6,4,"15"
"2019",5,10,4,"5"
"2019",5,60,47,"1"
"2019",5,70,48,"1"
"2019",5,45,10,"1"
"2019",5,50,11,"1"
"2019",5,58,13,"1"
"2019",5,62,36,"1"
"2019",5,63,36,"1"
"2019",5,64,41,"7"
"2019",5,68,49,"4"
"2019",5,78,15,"1"
"2019",5,82,15,"1"
"2019",5,93,18,"1"
"2019",5,119,37,"1"
"2019",5,141,40,"1"
"2019",5,59,50,"1"
"2019",5,162,26,"1"
"2019",5,194,44,"1"
"2019",5,203,46,"1"
"2019",5,206,46,"1"
"2019",5,165,31,"3"
"2019",5,69,52,"20"
"2019",6,5,4,"7"
"2019",6,6,4,"3"
"2019",6,7,4,"1"
"2019",6,10,4,"24"
"2019",6,13,5,"1"
"2019",6,64,41,"1"
"2019",6,68,49,"1"
"2019",6,81,15,"1"
"2019",6,108,21,"2"
"2019",6,160,26,"1"
"2019",6,196,44,"1"
"2019",6,199,45,"1"
"2019",6,203,46,"1"
"2019",6,69,52,"1"
"2019",7,6,4,"1"
"2019",7,93,18,"1"
"2019",7,160,26,"1"
"2019",10,52,11,"1"
"2019",10,68,49,"1"
"2019",11,180,35,"1"
"2019",12,69,52,"1"
