mid,lmgid,dmgid,movementdate,originholdingid,destinationholdingid,totalmoved,movementtype,movementspecies,mid_sec,lmgid_sec,dmgid_sec,movementdate_sec,originholdingid_sec,destinationholdingid_sec
9848,230,34,2019/01/02,6521,8128,12,standard,horse,,,,,,
9773,226,34,2019/01/02,7551,8160,2,standard,horse,,,,,,
9847,211,3,2019/01/02,8760,7922,1,standard,horse,,,,,,
9850,39,51,2019/01/02,6491,5633,2,standard,horse,,,,,,
9849,230,34,2019/01/02,6521,8128,5,standard,horse,,,,,,
9874,230,34,2019/01/04,7422,6013,1,standard,horse,,,,,,
9920,226,34,2019/01/05,8764,7446,2,standard,horse,,,,,,
9890,39,51,2019/01/06,8765,4911,1,standard,horse,,,,,,
9909,226,34,2019/01/07,8773,8775,1,standard,horse,,,,,,
9895,70,48,2019/01/07,8767,5485,1,standard,horse,,,,,,
9919,228,34,2019/01/07,6520,149,5,standard,horse,,,,,,
9931,68,49,2019/01/09,6522,7327,3,standard,horse,,,,,,
9935,54,11,2019/01/09,8766,123,1,standard,horse,,,,,,
9934,154,25,2019/01/09,8018,123,3,standard,horse,,,,,,
9946,68,49,2019/01/09,6522,6169,1,standard,horse,,,,,,
9942,42,9,2019/01/09,8753,123,1,standard,horse,,,,,,
9951,175,33,2019/01/10,8786,6485,1,standard,horse,,,,,,
9948,39,51,2019/01/10,6491,14,1,standard,horse,,,,,,
9966,160,26,2019/01/10,8791,7026,2,vpsoqca,horse,11071,219,12,2019/01/28,7026,7633
9952,226,34,2019/01/10,8788,8649,1,standard,horse,,,,,,
9965,160,26,2019/01/10,8790,7026,1,vpsoqca,horse,10162,219,12,2019/01/30,7026,8145
9963,231,34,2019/01/10,8794,4857,2,standard,horse,,,,,,
9933,57,13,2019/01/11,6526,7000,1,standard,horse,,,,,,
9958,60,47,2019/01/11,8792,123,1,standard,horse,,,,,,
9944,230,34,2019/01/11,7497,5398,8,standard,horse,,,,,,
9954,68,49,2019/01/11,6522,6569,1,standard,horse,,,,,,
9875,39,51,2019/01/11,7414,6268,1,standard,horse,,,,,,
9955,39,51,2019/01/11,6491,136,1,standard,horse,,,,,,
9956,39,51,2019/01/11,6730,6518,1,standard,horse,,,,,,
9986,230,34,2019/01/11,6521,7293,5,standard,horse,,,,,,
9959,68,49,2019/01/11,8642,8066,1,standard,horse,,,,,,
9932,225,34,2019/01/11,7846,125,1,standard,horse,,,,,,
9939,230,34,2019/01/11,7497,6304,4,standard,horse,,,,,,
9957,39,51,2019/01/11,6730,6494,1,standard,horse,,,,,,
9980,39,51,2019/01/12,6491,8734,2,standard,horse,,,,,,
9985,229,34,2019/01/12,8184,5410,1,standard,horse,,,,,,
9973,41,9,2019/01/12,7650,7696,2,standard,horse,,,,,,
9960,203,46,2019/01/12,6956,5336,1,standard,horse,,,,,,
9962,203,46,2019/01/12,6956,4956,2,standard,horse,,,,,,
9961,203,46,2019/01/12,6956,6199,1,standard,horse,,,,,,
10005,10,4,2019/01/15,8664,6367,1,standard,horse,,,,,,
9610,39,51,2019/01/15,6730,6514,1,standard,horse,,,,,,
10014,45,10,2019/01/15,8872,8873,1,standard,horse,,,,,,
10001,78,15,2019/01/15,6535,6313,1,standard,horse,,,,,,
9994,70,48,2019/01/15,6492,6061,1,standard,horse,,,,,,
9999,78,15,2019/01/15,8779,8712,2,standard,horse,,,,,,
10002,79,15,2019/01/15,6631,5935,1,standard,horse,,,,,,
10004,70,48,2019/01/15,6492,5935,1,standard,horse,,,,,,
9981,82,15,2019/01/15,7292,7293,1,standard,horse,,,,,,
10012,1,1,2019/01/15,7676,6118,1,standard,horse,,,,,,
9974,230,34,2019/01/15,6521,4980,6,standard,horse,,,,,,
10003,230,34,2019/01/15,6521,8128,7,standard,horse,,,,,,
9968,230,34,2019/01/15,7168,4982,2,standard,horse,,,,,,
9978,68,49,2019/01/15,6522,5705,1,standard,horse,,,,,,
9977,57,13,2019/01/15,6526,7638,1,standard,horse,,,,,,
9982,70,48,2019/01/15,6492,5705,1,standard,horse,,,,,,
10008,69,52,2019/01/15,8772,7026,1,vpsoqca,horse,10206,219,12,2019/02/01,7026,6153
9984,70,48,2019/01/15,6492,6469,1,standard,horse,,,,,,
9983,70,48,2019/01/15,6492,31,1,standard,horse,,,,,,
9997,78,15,2019/01/16,6535,4956,2,standard,horse,,,,,,
10017,81,15,2019/01/16,7061,4971,2,standard,horse,,,,,,
10010,81,15,2019/01/16,7061,4971,2,standard,horse,,,,,,
9996,234,42,2019/01/16,6590,6511,2,standard,horse,,,,,,
10000,230,34,2019/01/16,7422,32,1,standard,horse,,,,,,
10019,62,36,2019/01/16,7032,5288,1,standard,horse,,,,,,
10030,203,46,2019/01/16,6956,5313,1,standard,horse,,,,,,
10025,69,52,2019/01/16,8315,6528,1,standard,horse,,,,,,
10034,70,48,2019/01/17,8877,62,1,standard,horse,,,,,,
10020,39,51,2019/01/18,6491,6199,1,standard,horse,,,,,,
10027,39,51,2019/01/18,8876,7793,1,standard,horse,,,,,,
10026,199,45,2019/01/18,8871,5475,1,standard,horse,,,,,,
10040,187,43,2019/01/18,8190,8758,2,standard,horse,,,,,,
10041,187,43,2019/01/18,8190,7211,1,standard,horse,,,,,,
10039,187,43,2019/01/18,8190,8191,4,standard,horse,,,,,,
10049,227,34,2019/01/18,7679,5428,1,standard,horse,,,,,,
10018,39,51,2019/01/18,6501,7424,3,standard,horse,,,,,,
9993,190,44,2019/01/18,6513,7424,3,standard,horse,,,,,,
10047,234,42,2019/01/18,6590,7424,5,standard,horse,,,,,,
10021,39,51,2019/01/18,6491,6313,3,standard,horse,,,,,,
10029,68,49,2019/01/19,6525,5633,2,standard,horse,,,,,,
10035,68,49,2019/01/20,6525,6498,2,standard,horse,,,,,,
10033,226,34,2019/01/20,6914,7424,7,standard,horse,,,,,,
10037,13,5,2019/01/20,8878,5752,2,standard,horse,,,,,,
10052,39,51,2019/01/23,6491,5633,1,standard,horse,,,,,,
10053,39,51,2019/01/23,6491,5633,7,standard,horse,,,,,,
10082,226,34,2019/01/24,7492,8888,1,standard,horse,,,,,,
10056,230,34,2019/01/24,7168,6013,1,standard,horse,,,,,,
10055,228,34,2019/01/24,7131,4917,2,standard,horse,,,,,,
10088,228,34,2019/01/24,7494,8501,2,standard,horse,,,,,,
10059,68,49,2019/01/24,6522,5608,2,standard,horse,,,,,,
10054,39,51,2019/01/24,6491,5633,3,standard,horse,,,,,,
10058,39,51,2019/01/24,6491,5633,2,standard,horse,,,,,,
10096,44,10,2019/01/25,8890,6470,3,standard,horse,,,,,,
10060,232,42,2019/01/25,8887,6415,2,standard,horse,,,,,,
10062,56,13,2019/01/26,7272,6272,3,standard,horse,,,,,,
10081,28,7,2019/01/26,8780,7443,2,standard,horse,,,,,,
10092,197,45,2019/01/26,8891,7142,1,standard,horse,,,,,,
10100,56,13,2019/01/26,7272,7978,1,standard,horse,,,,,,
10061,56,13,2019/01/26,7272,5314,4,standard,horse,,,,,,
10084,228,34,2019/01/27,6489,5942,1,standard,horse,,,,,,
10101,226,34,2019/01/27,6127,8893,1,standard,horse,,,,,,
10063,56,13,2019/01/27,7272,168,8,standard,horse,,,,,,
10091,228,34,2019/01/27,6489,7142,5,standard,horse,,,,,,
10083,56,13,2019/01/27,7272,7211,4,standard,horse,,,,,,
10064,56,13,2019/01/27,7272,8083,1,standard,horse,,,,,,
10089,70,48,2019/01/28,6492,6915,1,standard,horse,,,,,,
10107,226,34,2019/01/29,7375,8083,1,standard,horse,,,,,,
10111,68,49,2019/01/30,6525,5633,1,standard,horse,,,,,,
10108,39,51,2019/01/30,8254,6725,1,standard,horse,,,,,,
10102,228,34,2019/01/30,7494,8501,6,standard,horse,,,,,,
10142,68,49,2019/01/30,6522,8901,1,standard,horse,,,,,,
10109,2,4,2019/01/30,6506,14,26,standard,horse,,,,,,
10145,39,51,2019/01/30,6491,6199,1,standard,horse,,,,,,
10144,234,42,2019/01/30,6590,6511,2,standard,horse,,,,,,
10098,68,49,2019/01/30,8886,90,2,standard,horse,,,,,,
10057,199,45,2019/01/30,8884,7595,2,standard,horse,,,,,,
10143,70,48,2019/01/30,8277,6313,1,standard,horse,,,,,,
10147,204,46,2019/01/31,8902,6454,1,standard,horse,,,,,,
10139,68,49,2019/01/31,7067,6065,1,standard,horse,,,,,,
10140,64,41,2019/01/31,8900,5752,1,standard,horse,,,,,,
