lmgid,totalhorses
1,2929
2,3117
3,2829
4,866
5,1732
6,1181
7,2374
8,3448
9,1799
10,2278
11,2686
12,2410
13,1067
14,3010
15,1136
16,1860
17,1547
18,4005
19,2657
20,3233
21,2207
22,1873
23,2778
24,1810
25,2086
26,7368
27,15786
28,3953
29,3609
30,2638
31,1533
32,2705
33,2305
34,2953
35,5772
36,2773
37,2467
38,1388
39,2184
40,1228
41,2233
42,2262
43,996
44,1453
45,1317
46,1265
47,1944
48,1117
49,2958
50,5218
51,3085
52,6170
53,8144
54,2014
55,2234
56,2233
57,719
58,1724
59,2074
60,6178
61,1840
62,2472
63,3001
64,2075
65,1372
66,1488
67,1716
68,4683
69,7882
70,1284
71,327
72,101
73,422
74,339
75,192
76,452
77,574
78,563
79,651
80,1105
81,356
82,247
83,353
84,675
85,307
86,390
87,1958
88,949
89,267
90,591
91,718
92,690
93,656
94,1076
95,411
96,241
97,291
98,604
99,519
100,670
101,502
102,365
103,146
104,111
105,496
106,470
107,431
108,276
109,664
110,245
111,530
112,211
113,331
114,462
115,271
116,614
117,1333
118,1743
119,486
120,903
121,93
122,187
123,422
124,30
125,35
126,32
127,21
128,481
129,298
130,76
131,141
132,92
133,569
134,332
135,51
136,56
137,96
138,90
139,116
140,222
141,48
142,236
143,608
144,111
145,245
146,780
147,2157
148,18
149,2441
150,547
151,119
152,1486
153,611
154,862
155,766
156,2414
157,54
158,31
159,1594
160,44
161,12
162,23
163,1233
164,736
165,1818
166,1804
167,1109
168,1231
169,1124
170,1905
171,1254
172,2320
173,1252
174,1201
175,1020
176,1121
177,825
178,3152
179,1284
180,1172
181,1561
182,1347
183,1085
184,2089
185,1881
186,3364
187,2950
188,1208
189,1640
190,863
191,871
192,1030
193,416
194,564
195,951
196,1434
197,722
198,1558
199,1489
200,641
201,1280
202,383
203,507
204,771
205,197
206,295
207,2012
208,667
209,233
210,1519
211,957
212,718
213,901
214,504
215,1305
216,1273
217,519
218,291
219,602
220,664
221,968
222,318
223,933
224,619
225,545
226,917
227,365
228,994
229,528
230,311
231,336
232,793
233,546
234,908
